# code	candidate1	candidate2	...
# Generated by: make update-sucheng-snapshot
# Locks Quick Classic Sucheng first-page ordering for alphabetic one/two-key codes.
a	日	曰
b	月
c	金
d	木
e	水
f	火
g	土
h	竹
i	戈
j	十
k	大	乂
l	中
m	一
n	弓
o	人
p	心
q	手
r	口
s	尸
t	廿
u	山
v	女
w	田
y	卜
oo	伕	肉	似	佚	佻	俠	促	氦	傢
op	化	代	仳	佗	佬	念	悠	您	傯
oq	件	年	伴	佣	佯	俸	拿	氧	偉
or	合	何	估	佑	伽	伺	佔	佝	含
os	仍	仿	氖	作	矩	傍	飭	雋	仂
ot	位	併	侖	盒	短	氳	餅	儘	伳
ou	仙	缶	侃	岱	岳	倦	俺	倔	倪
ov	佞	依	食	倀	倭	氨	偃	偎	偯
ow	佃	儅	儡	餾	氥	偪	偤	畣	酓
ox	儕	餡	偛	饀
oy	仆	侮	俳	佧	佟	侜	氡	⻞
pa	旨	旬	怕	皆	惜	憎	曶	恉	恂
pb	怖	匍	悄	情	惰	惴	慵	懦	怲
pc	怵	頃	慎	頓	慣	憤	穎	懶	怬
pd	也	悖	悸	惇	慄	愾	懍	匊	恘
pe	愎	慷	慢	皺	忮	忣	怓	悛	惙
pf	恢	愀	憬	憔	憮	怀	炰	悰	惔
pg	忸	怪	惟	惶	雊	憧	懂	雛	懼
ph	切	勿	必	悌	惕	慘	忉	怭	毖
pi	勺	勾	忖	忪	怯	恃	愧	怜	惤
pj	悍	悴	悻	悼	憚	懾	忏	匉	忤
pk	匆	匈	快	怏	憫	懊	忕	忷	恔
pl	悚	鄒	慚	忡	忻	邲	斪	郇	愐
pm	勻	怔	性	怛	恆	惺	懺	怚	怌
pn	刎	刨	怫	惻	愉	乜	勼	忔	忴
po	愜	疑	忺	怢	恌	欨	惿	懅	憸
pp	比	忽	怩	惚	憶	憾	忯	怋	恅
pq	肄	憐	懈	怑	甮	愇
pr	句	怡	恰	恬	恫	恪	悟	惦	惆
ps	劬	愣	愕	慟	怍	怮	勓	勩	懏
pt	世	恤	慍	愷	恲	悈	㦉	憕	懢
pu	屯	包	忱	恍	悅	芻	惋	慨	慌
pv	忙	恨	悽	悵	惘	愒	懷	怴	悢
pw	甸	匐	惱	怞	恓	愊	慉
px	慆	懠
py	悔	忭	悱
qa	拍	指	春	措	揩	替	摺	抇	晢
qb	青	捎	捕	捐	掃	掄	揣	揹	搞
qc	扒	拱	責	損	撰	擴	擷	捇	掽
qd	耒	拖	捆	秦	探	掙	採	掬	揉
qe	技	扳	投	披	泰	授	援	搬	搜
qf	素	掠	捺	揀	揪	摭	撩	撫	撚
qg	扭	拄	拴	挂	挺	挫	捱	推	握
qh	抄	扮	拐	揚	摻	抮	捗	耖	摎
qi	找	拇	拎	持	毒	耘	搏	搔	蜇
qj	丰	抖	抹	抨	捍	掉	揖	揮	摔
qk	抉	抆	拔	契	奏	挨	掖	捩	揆
ql	折	抑	邦	押	挪	撕	擲	扴	邞
qm	扛	扯	抵	拭	拯	捏	彗	控	捶
qn	打	抗	抒	拂	挖	捌	捫	擰	扢
qo	夫	扶	抓	挑	挾	捉	捷	掀	提
qp	托	批	抿	拽	捻	慧	撼	擺	攏
qq	奉	拌	挈	捧	撐	撻	掱	掰	揵
qr	扣	招	拓	拈	拘	抬	拮	括	拾
qs	扔	拒	拋	拗	拷	勣	搾	撈	擄
qt	拉	拚	拼	耕	摒	抴	揜	搤	搕
qu	扎	把	扼	拙	抱	挽	耙	耗	捲
qv	表	按	振	接	揭	摟	攘	拫	挀
qw	抽	描	播	擋	擂	攔	揊	揂	搐
qx	舂	插	擠	掐	搯	㩋
qy	扑	拆	掛	排	抃	挴	攠
ra	啪	唱	嗜	嘈	踏	嚐	嚕	躇	咰
rb	吊	吶	哨	唷	哺	唏	啃	啼	喘
rc	只	叭	哄	趴	員	巽	跡	嘛	嘖
rd	吁	呆	味	呼	咪	咻	哮	喋	嗓
re	吸	吱	呶	唆	啜	跛	噯	踱	唚
rf	啖	啾	嗦	嗎	嗚	嗉	鳴	嘹	嘿
rg	吐	呈	哇	哩	唯	喔	喱	踵	雖
rh	叨	吩	吻	吵	呀	嘐	踢	咇	唦
ri	吋	吆	咐	哦	喲	嗤	戢	嘎	嘰
rj	啤	喃	單	嗥	嗶	嘩	蹕	囁	躡
rk	吳	吠	咬	哎	咽	咿	哭	唉	哽
rl	叩	叫	听	呻	呷	哪	唧	郢	啣
rm	叼	呸	咀	啞	趾	喧	喳	唾	嗟
rn	叮	吃	別	吭	吟	咒	咦	咧	哼
ro	呎	吹	足	呱	咳	啄	趺	喙	跌
rp	叱	民	吒	呢	唸	跎	嗯	愍	噫
rq	咩	躂	吽	哖	哞	唪	喡	跘	噠
rr	呂	呵	咖	咕	品	哈	咯	唁	唔
rs	另	叻	咋	勛	距	跨	嘮	踴	呺
