# Generated by scripts/generate-association-seeds.rb.
# key<TAB>candidate1<TAB>candidate2...
# Sources: local seed TSVs, McBopomofo associated phrases, typing corpora, IBus Cangjie, and Rime Cangjie dictionaries.
也	不	必	是	要	沒	許	有	都	就	在	會	沒有	能	可	不可	對	過	未	不是	當	把	來	無	照	用	被	說	好	到	向	想	知	像	不要	進	不能	納	再	去	不會	為	罷	似	先	改	聽	裝	是這	咬	拔	試	作	愈	爛	可以	就是	不在	搖	爾	給	與	將	曾	使	受	替	吃	看	不到	死	不再	得	怎	是如	從	住	知道	多	如	由	隨	會有	許是	能夠	同	彼	見	跟	轉	會在	許會	許有	許在	未可	少	悅	成	明	終	對於	必不	用了	許能	改了	進了	過去	不得	必照	照樣	裝了	喝	因	歸	生	站	該	愈急	爛了	試了	在那
也不	是	會	在	到	能
也可	以
也對	於
也就	是	是說
也就是	說
也愈	急
也改	了
也會	有	在
也未	可	可知
也未可	知
也沒	有
也爛	了
也用	了
也能	夠
也裝	了
也許	是	會	有	在	能
也試	了
也進	了
也過	去
乩	童
乳	酪	液	化	香	脂	酸	糖	白	類	臭	腺	癌	石	頭	汁	糜	豬	動	房	母	牛	齒	品	製	室	溝	劑	名	器	暈	洞	狀	膠	醬	腥	鴿	紫	缽	茶	臭未	液聚	化液	動物	酸菌	白色	製品	化劑	石洞	糖不	糖分	酸鈣	類動	養	白的	酪餅	腥未	酪蛋	汁狀	糜管	紫色	脂狀	脂糖	脂肪	腺炎	腺癌	頭狀	香樹	香脂	液聚合	好	糖不耐	臭未乾	糖分解	類動物	的	腥未退	臭未除	酪蛋糕	乾	像	哺	如	尚	成	好像	母都	的母	養嬰	養的	像其	哺其	如同	尚未	成形	母抱	母藏	養你	養兒	養小	養自	香並	香使	香兌	香去	香又	香各	香呢	香岡	香或	香放	香木	母都藏	的母牛	養嬰孩	像其上	哺其子	好像一	好像百	好像葡	如同其
乳化	液	劑
乳汁	狀
乳液	聚	聚合
乳液聚	合
乳白	色	的
乳糖	不	分	不耐	分解	不耐症	分解酶
乳糖不	耐	耐症
乳糖分	解	解酶
乳糜	管
乳紫	色
乳脂	狀	糖	肪
乳腥	未	未退
乳腥未	退
乳腺	炎	癌
乳臭	未	未乾	未除
乳臭未	乾	除
乳製	品
乳酪	餅	蛋	蛋糕
乳酪蛋	糕
乳酸	菌	鈣
乳頭	狀
乳香	樹	脂
